no_peak,tpp,ecv,sa,est_tpp,est_ecv,tw,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52,sample_53,sample_54,sample_55,sample_56,sample_57,sample_58,sample_59,sample_60
0,-56.0,1.21,839.4313354492188,-51.0,1.0340695,-66.0,0.813818114358876,0.8364121897489135,0.8643942601411257,0.8980648122200735,0.9376762997352487,0.9834252914106826,1.0354448887421042,1.093797574588642,1.158468660221275,1.2293605027734853,1.3062876665371979,1.3889731999250978,1.4770461948088642,1.5700407859416492,1.6673967349064038,1.7684617252475259,1.872495473045684,1.978675730147604,2.0861062254941327,2.1938265534350374,2.300823976593133,2.406047064852323,2.508421041617442,2.6068646540634823,2.70030832637925,2.787713294967816,2.8680913632590426,2.940524852463101,3.0041862649815867,3.058357121687327,3.1024453858930157,3.1360008497768552,3.1587278405731185,3.1704946161142744,3.171338878714258,3.1614689578022652,3.1412603991182553,3.1112479388329493,3.072113106648747,3.0246679536794403,2.9698355955938998,2.9086283695383655,2.8421244258903706,2.7714435398276933,2.697722862875804,2.6220932590324253,2.5456567911942987,2.4694658444558626,2.3945042951403988,2.3216710591719854,2.2517662809692123,2.185480354442543,2.1233859008754514,2.0659327645205074,2.013446025764289,1.9661269738462166,1.9240569264426197,1.8872037319329984,1.8554307417112472,1.8285079942087605
0,10.0,0.81,182.62803649902344,11.0,0.60166436,-171.0,0.56464123564707,0.5662985126141247,0.5685289655533531,0.5714021485451134,0.5749869862708952,0.5793506841350499,0.5845575731493192,0.5906679043690318,0.5977366094472393,0.6058120455840588,0.6149347448622404,0.6251361897415013,0.6364376382956793,0.6488490244189993,0.6623679594454652,0.6769788622881499,0.6926522453010298,0.7093441825645649,0.726995986136391,0.7455341139664582,0.7648703306498642,0.7849021389517065,0.8055134960412206,0.8265758235903385,0.8479493153206711,0.8694845392378019,0.8910243247353534,0.9124059171455394,0.9334633744092955,0.9540301725331625,0.9739419784090011,0.9930395403946145,1.0111716390059171,1.0281980324622608,1.0439923247832545,1.058444677744818,1.0714642826674659,1.0829815045082136,1.092949610075642,1.1013459956074412,1.108172837827058,1.1134571082705111,1.1172499140172352,1.1196251586157842,1.1206775524471033,1.1205200371492785,1.1192807184307156,1.1170994219629677,1.1141239977223638,1.110506501058526,1.1063993762149973,1.101951761683178,1.0973060275174091,1.0925946429510862,1.0879374587017263,1.083439472884983,1.0791891331618126,1.075257211028716,1.0716962672441908,1.068540710495101
0,-14.0,1.27,261.5893859863281,-10.0,1.2571794,-481.0,1.210926388232895,1.2174872681709834,1.2249321975130083,1.2333213451040295,1.242709456995357,1.2531444255540767,1.2646658450762522,1.2773035793254832,1.2910763684834032,1.305990505010972,1.3220386094372985,1.33919853780507,1.357432452448399,1.376686087188178,1.3968882370286064,1.4179505009736164,1.4397673045521653,1.462216225991885,1.4851586466364204,1.508440742009873,1.5318948247526203,1.5553410444508928,1.5785894421933848,1.6014423495635284,1.62369711280132,1.6451491132432225,1.665595045176182,1.6848364020638817,1.7026831115169458,1.718957248223364,1.7334967427345438,1.7461589933623118,1.7568242792793383,1.7653988658690194,1.7718176892156012,1.7760465065062165,1.7780834044903113,1.7779595704700506,1.7757392506470813,1.7715188493990928,1.765425159622819,1.757612756474524,1.748260629964371,1.7375681692717269,1.7257506378588097,1.7130342920967108,1.6996512994884225,1.6858346090052854,1.6718129181663897,1.6578058709790118,1.644019608628037,1.6306427811336175,1.6178431131483026,1.605764600859806,1.5945253999668598,1.584216447163537,1.5749008395965485,1.5666139784028859,1.55936446378082,1.5531357102051846
0,-16.0,1.06,135.41787719726562,-25.0,0.99959993,-599.0,0.9922795574262353,1.002402582275648,1.0124206373208886,1.022342263403398,1.0321761506109652,1.0419303150687877,1.0516113343586122,1.0612236680627274,1.0707690853122769,1.0802462154653736,1.0896502310928886,1.098972664910378,1.108201355108274,1.1173205073781178,1.126310857326352,1.1351499145111088,1.1438122693331374,1.1522699461841597,1.1604927900579274,1.1684488785046627,1.1761049552154201,1.1834268846055562,1.1903801282337239,1.1969302440932172,1.2030434092174005,1.2086869650012388,1.2138299832609538,1.2184438491586511,1.222502854573865,1.225984792608367,1.2288715413558349,1.2311496234141646,1.2328107267443513,1.2338521716840152,1.2342773077280966,1.234095822402725,1.2333239439621677,1.2319845203645337,1.2301069592734934,1.2277270176448085,1.2248864345477968,1.221632406829934,1.218016913562972,1.2140959014838753,1.209928349509645,1.2055752354849925,1.2010984322734084,1.1965595629856138,1.1920188466136878,1.1875339656985755,1.183158986981911,1.178943364431432,1.174931051802494,1.171159749163266,1.167660304610516,1.1644562887550196,1.161563755520294,1.1589911984302914,1.1567397068610559,1.1548033216698441
0,7.0,1.45,225.204345703125,9.0,1.2649505,-599.0,1.2351608654763657,1.238992167965467,1.2433168124406677,1.248183449772192,1.2536397178437906,1.2597313618279975,1.266501315608464,1.273988758536065,1.2822281623247864,1.2912483433328716,1.3010715359480713,1.311712503426304,1.323177703319264,1.3354645253934705,1.3485606204317158,1.362443338397625,1.3770792941885337,1.3924240786572888,1.4084221317473304,1.42500679344723,1.4421005467766874,1.4596154650311977,1.4774538729035822,1.4955092277913342,1.513667223542729,1.531807114094992,1.5498032490193236,1.5675268070752812,1.5848477076166885,1.6016366731331535,1.617767409382844,1.6331188625471504,1.6475775057662765,1.6610396005818242,1.6734133727634846,1.6846210375077746,1.6946006067300015,1.70330741139069,1.710715274567389,1.716817276590784,1.72162606265832,1.7251736566555096,1.7275107628584077,1.7287055594313057,1.7288420125897648,1.728017764780145,1.726341670301743,1.7239310648591912,1.7209088615916879,1.7174005670441599,1.713531308297369,1.7094229581186997,1.7051914388132645,1.7009442776015145,1.6967784771941583,1.692778755160075,1.6890161948661737,1.6855473393151452,1.6824137473008343,1.6796420191277122
0,6.0,0.86,206.15528869628906,6.0,0.6768308,-118.0,0.6490268840337475,0.6493029648765402,0.6499587563172817,0.6510560837924894,0.6526573549524881,0.6548246760120023,0.6576189086677454,0.6610986788056199,0.6653193494714131,0.6703319718501477,0.676182229238973,0.682909390203569,0.6905452882956518,0.6991133468420019,0.708627668268776,0.719092208048045,0.7305000535796542,0.7428328281895343,0.7560602399847248,0.7701397945383383,0.7850166892177588,0.8006239053455986,0.8168825122477643,0.8337021945936905,0.8509820112992472,0.8686113906297701,0.886471361907559,0.9044360192716453,0.9223742072212928,0.940151411287893,0.9576318302818008,0.9746805992922468,0.9911661251033729,1.0069624881244987,1.0219518575849669,1.0360268598367868,1.0490928333256793,1.0610698984405087,1.0718947665805192,1.081522211165412,1.0899261250296772,1.0971000955325878,1.1030574437350238,1.107830699526627,1.1114705186418308,1.1140440825666953,1.1156330501894203,1.1163311473696649,1.1162414890264691,1.115473730811578,1.1141411459982165,1.1123577190801588,1.110235341577736,1.1078811882756416,1.105395343869042,1.1028687408469475,1.100381459455649,1.0980014299123095,1.095783565849551,1.0937693463532403
0,12.0,1.03,249.81593322753906,12.0,0.8516454,-106.0,0.8232148201667541,0.824345278741629,0.8259123081757456,0.8279760029972951,0.8305966631457714,0.8338339228486381,0.8377458206742994,0.8423878216127998,0.8478118036745286,0.8540650232199961,0.861189074866728,0.8692188631985623,0.8781816045160229,0.8880958775003734,0.8989707419939859,0.9108049452055007,0.9235862345453163,0.9372907959503364,0.9518828359490553,0.9673143248921832,0.9835249177744017,1.0004420678325445,1.0179813464626588,1.0360469808505253,1.0545326180806966,1.0733223214246008,1.0922918009784424,1.1113098767362855,1.1302401674727864,1.148942993452428,1.1672774748585923,1.185103800549716,1.2022856329184326,1.2186926045651267,1.2342028522654624,1.2487055243415786,1.2621031895205914,1.2743140688789134,1.2852740078008484,1.294938102486601,1.3032818962199382,1.3103020659507165,1.3160165328088302,1.320463954546775,1.3237025938505034,1.3258085975039482,1.3268737574931802,1.3270028498267719,1.326310659963427,1.3249188082656311,1.3229524877205445,1.320537221320851,1.3177957393180482,1.3148450677375916,1.3117939093327107,1.308740386704444,1.3057702048307296,1.3029552769603396,1.3003528439766434,1.2980051031249087
0,17.0,1.0,197.48924255371094,18.0,0.79624116,-309.0,0.7688764040197767,0.7711440274005696,0.7737809852926197,0.7768388116975542,0.7803697783290602,0.7844261247311443,0.7890592234656226,0.7943186903880268,0.8002514519290848,0.806900783020323,0.8143053307129202,0.82249813962918,0.831505696273221,0.8413470100065168,0.8520327491618563,0.8635644512959536,0.8759338269533609,0.8891221764929449,0.9030999394189047,0.9178263951423147,0.933249533073525,0.9493061083474653,0.9659218972908261,0.9830121639529918,1.0004823456514402,1.0182289615486646,1.0361407438216816,1.0540999860647695,1.0719840982522102,1.089667351952732,1.1070227935813255,1.1239242973279004,1.1402487230677267,1.155878138124675,1.1707020553422764,1.184619633712038,1.1975417821570584,1.209393102451124,1.2201136041924876,1.2296601238067655,1.2380073814109753,1.2451486149168673,1.2510957411625683,1.2558790104993722,1.2595461446184963,1.2621609753748035,1.263801630119392,1.2645583316565994,1.2645308961291677,1.263826020427162,1.2625544537012248,1.2608281466342444,1.258757468233683,1.2564485737122155,1.2540009990742094,1.2515055487745308,1.2490425325741723,1.2466803966891487,1.2444747826917968,1.2424680354953432
0,8.0,1.18,209.57098388671875,9.0,1.0186756,-509.0,0.991790595911197,0.9947165215617371,0.9980392072763038,1.0018062977395878,1.0060654185472546,1.0108633860506504,1.0162453699762766,1.0222540202572952,1.0289285703496058,1.036303930122152,1.0444097822021732,1.0532696964308244,1.0629002778367018,1.073310364210648,1.0845002899095897,1.0964612329283727,1.1091746625633858,1.1226119051043864,1.136733844860364,1.1514907773685992,1.1668224307081447,1.1826581692700036,1.1989173920573182,1.215510134662514,1.232337880610404,1.2492945838499905,1.2662678998129164,1.2831406175721862,1.2997922802715065,1.3161009753140458,1.3319452698821714,1.3472062611303224,1.3617697038324175,1.3755281716215164,1.3883832016638844,1.4002473670401367,1.4110462165117692,1.4207200179818218,1.4292252402144667,1.4365357078652206,1.4426433683989326,1.4475586171180126,1.4513101396998884,1.4539442514422418,1.4555237379184525,1.4561262290373291,1.4558421624836484,1.4547724100650397,1.4530256514438245,1.4507155853862093,1.4479580702508725,1.4448682837688642,1.4415579878098472,1.4381329773184635,1.43469078446517,1.4313186997617657,1.4280921618285238,1.4250735569086408,1.422311458168637,1.419840323261868
0,21.0,0.88,207.85812377929688,21.0,0.7885429,-138.0,0.7651849661313088,0.7658653336427427,0.7668353480723493,0.7681415524342919,0.7698317431886932,0.7719543642204975,0.7745578281135419,0.7776897706672282,0.7813962469168454,0.7857208790635273,0.7907039686288331,0.7963815868463358,0.8027846588195521,0.8099380582657448,0.8178597306689132,0.8265598634239024,0.8360401221762115,0.8462929730683142,0.8573011108592093,0.8690370127338172,0.8814626370291235,0.8945292851090704,0.9081776431755474,0.9223380187900111,0.9369307842359154,0.9518670356013142,0.9670494726312904,0.9823734999727363,0.9977285453820582,1.0129995848036015,1.0280688580223025,1.0428177519635158,1.0571288218266426,1.0708879133357265,1.0839863427212357,1.0963230848002494,1.1078069138394586,1.118358436923139,1.1279119554861852,1.136417087762905,1.143840083591286,1.150164764004467,1.1553930224271962,1.1595448340465344,1.1626577378969591,1.1647857837854503,1.1659979699701628,1.1663762298403741,1.166013049959786,1.1650088157791223,1.1634689870701294,1.1615012054456526,1.1592124329540787,1.1567062145452858,1.1540801489102586,1.1514236424666622,1.1488160104536556,1.146324977261331,1.1440056153215004,1.1418997484003157
